event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CHI2682,23-Dec-19,2019,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Chile),,3,Civilians (Chile),Government of Chile (2018-2022); Labor Group (Chile),7,37,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,Estacion Central,Santiago - Estacion Central,-33.4546,-70.6823,1,Biobio Chile,National,"On 23 December 2019, in Estacion Central, Metropolitan region, a group of 5 unidentified armed men set on fire a bus of public service. Witnesses claimed the group boarded the bus and consequently threatened the passengers and driver with firearms, forcing them to get off the vehicle. The group then set the car on fire. No group has claimed the event, but a pamphlet demanding the liberation of a political activist was found in the area.",0,,1647300319
CHI2655,20-Dec-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,Cerro Navia,Santiago - Cerro Navia,-33.4228,-70.7355,1,24 Horas (Chile),National,"On 20 December 2019, in Cerro Navia, Metropolitan region, Police Forces of Chile evicted a group of 60 civilians from private property. State forces used teargas, water hoses, and pellets against families with children and pregnant women. There were no reports of violence by the group of civilians.",0,,1647300318
CHI3114,13-Dec-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,O'Higgins,Cachapoal,Rancagua,Rancagua,-34.1708,-70.7444,1,La Cuarta (Chile),National,"On 13 December 2019, in Rancagua, O'Higgins region, a civilian was diagnosed with fractured skull and brain swelling after a police officer shot a tear gas canister directly to the victim's head. A video released to the press shows the officer targeting the pedestrian from the back at less than 8 meters of distance. A demonstration was happening on the same day, but the victim was not taking part in it.",0,,1647300321
CHI2609,12-Dec-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Women (Chile),7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,Recoleta,Santiago - Recoleta,-33.4064,-70.6395,1,Biobio Chile,National,"On 12 December 2019, in Recoleta, Metropolitan region, state forces attacked a pregnant woman during a police operation in the area. The victim reported that police officers hit her bump, despite being aware of her pregnancy. The victim was hospitalized.",0,,1647300320
CHI2605,11-Dec-19,2019,2,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,Atacama,Copiapo,Tierra Amarilla,Tierra Amarilla,-27.467,-70.2649,2,Chanarcillo,Subnational,"As reported on 11 December 2019, in Atacama region, a group of police officers attacked and tortured a civilian to obtain information about the victim's family. According to the sources, one of the family members is a social leader in the district of Tierra Amarilla, Atacama region, and police inquired about the activities of this person by repeatedly beating up the victim.",0,,1647300320
CHI2502,02-Dec-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Journalists (Chile),7,17,Civilian targeting,152,South America,Chile,Biobio,Concepcion,Concepcion,Concepcion,-36.827,-73.0498,1,Biobio Chile,Subnational,"On 02 December 2019, in Concepcion, Biobio region, police officers attacked a journalist. The victim claimed he was beaten by an unidentified officer. The attack was registered by the go-pro camera carried by the victim.",0,,1647300319
CHI2470,29-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Aid Workers (Chile); Health Workers (Chile),7,17,Civilian targeting,152,South America,Chile,Araucania,Cautin,Temuco,Temuco,-38.7397,-72.5984,1,Biobio Chile,National,"On 29 November 2019, in Temuco, Araucania region, aid and health workers reported that members of the Police Forces of Chile attacked a group of 10 to 15 members of their team while they assisted a group of people during a demonstration held in the city. One staff member was injured with multiple fractures while working on the field. Meanwhile, different reports claimed that some of their staff have also been arrested while performing their duties.",0,,1647300319
CHI2405,27-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Mapuche Indigenous Group (Chile); Prisoners (Chile),7,17,Civilian targeting,152,South America,Chile,Araucania,Malleco,Angol,Angol,-37.7952,-72.7164,1,Biobio Chile,National,"On 27 November 2019, in Angol, Araucania region, three prisoners, members of a Mapuche indigenous group, were injured during a control in a local prison. The details of the event remain unclear, but according to the version of the prisoners, the group was assaulted by the prison guards.",0,,1647300319
CHI2334,25-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Journalists (Chile),7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,El Mercurio (Chile),National,"On 25 November 2019, in Santiago, Metropolitan region, a group of between 6 to 10 police officers attacked a journalist. The victim claimed he was ambushed while walking alone and beaten by the state officers. The attack was registered by the go-pro camera carried by the victim.",0,,1647300321
CHI2295,23-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),LGBTQ+ (Chile),7,17,Civilian targeting,152,South America,Chile,Biobio,Concepcion,Hualpen,Hualpen,-36.7891,-73.1017,1,Biobio Chile,Subnational,"On 23 November 2019, in Hualpen, Biobio region, two civilians of the LGBTI community reported an attack by members of the Police Forces of Chile. The victims' version claimed that one of the officers opened fire against the couple when these did not allow a search procedure. The version of the officers claimed they opened fire on self-defense after one of the victims took the gun of the officer and this had to fought back for the weapon.",0,,1679428446
CHI2160,19-Nov-19,2019,2,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Women (Chile),7,17,Civilian targeting,152,South America,Chile,Maule,Talca,Talca,Talca,-35.4264,-71.6554,1,Radio Cooperativa,National,"As reported on 19 November 2019, in Talca, Maule region, Police Forces of Chile forced a female civilian to undress and exercise under police custody.",0,,1652228929
CHI2155,19-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Government of Chile (2018-2022),7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,Recoleta,Santiago - Recoleta,-33.4064,-70.6395,1,24 Horas (Chile),National,"On 19 November 2019, in Recoleta, Metropolitan region, a group of police officers opened fire against a group of citizens that were in an open council meeting in the streets of the district. The attack was reported by the district's mayor, who was also taking part in the event. Two people were reported injured.",0,local administrators,1687837285
CHI2131,18-Nov-19,2019,2,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Women (Chile),7,17,Civilian targeting,152,South America,Chile,O'Higgins,Cachapoal,Rancagua,Rancagua,-34.1708,-70.7444,1,Biobio Chile,National,"As reported on 18 November 2019, in Rancagua, O'Higgins region, Police Forces of Chile forced a female civilian to undress under police custody. The victim reported acts of sexual torture by members of the police force.",0,,1647300319
