data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7030743,152,CHI3569,3569,"31 March 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile); Health Workers (Chile)",6,,,0,60,"South America",Chile,Valparaiso,"San Antonio","San Antonio","San Antonio",-33.5947,-71.6075,1,"Lider San Antonio",Subnational,"On 31 March 2020, in San Antonio, Valparaiso region, workers of a local hospital protested against the reduction of their salaries. The group staged a protest in front of the hospital facilities. The hospital administration claimed the payment is deferred due to the economic impact of the coronavirus pandemic. [size=no report]",0,1586210135,CHL
7067048,152,CHI3570,3570,"31 March 2020",2020,2,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Biobio,Concepcion,Talcahuano,Talcahuano,-36.7249,-73.1168,1,"La Estrella Concepcion",Subnational,"As reported on 31 March 2020, in Talcahuano, Biobio region, a group of 6 citizens demonstrated against the government in the commemoration of the day of the young combatant. The built and set on fire a barricade across the road. Police arrested 3 people. [size=6]",0,1587491663,CHL
7030536,152,CHI3563,3563,"30 March 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)","Prisoners (Chile)",6,,,0,60,"South America",Chile,Araucania,Cautin,"Nueva Imperial","Nueva Imperial",-38.7483,-72.9478,1,"Biobio Chile",National,"On 30 March 2020, in Nueva Imperial, Araucania region, a group of 28 prisoners protested over the lack of security measures taken by the jail administration to prevent the spread of coronavirus among the prisoners. The group also announced the beginning of a hunger strike. [size=28]",0,1586210134,CHL
7030539,152,CHI3565,3565,"30 March 2020",2020,2,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile)",6,,,0,60,"South America",Chile,Metropolitana,Talagante,Talagante,Talagante,-33.6625,-70.9253,1,"Biobio Chile",National,"As reported on 30 March 2020, in Talagante, Metropolitan region, bus drivers protested over the lack of security measures taken by the company to prevent spread of coronavirus among the drivers. The group stopped all transport activities, and demanded the disinfection of the buses, affecting at least 5 district of the Metropolitan area. [size=no report]",0,1586210134,CHL
7067210,152,CHI3562,3562,"30 March 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile)",6,,,0,60,"South America",Chile,Antofagasta,Antofagasta,Antofagasta,Antofagasta,-23.6524,-70.3954,1,"Mercurio Antofagasta",Subnational,"On 30 March 2020, in Antofagasta, Antofagasta region, bus drivers protested over the lack of security measures taken by the company to prevent the spread of coronavirus among the drivers. The group staged a demonstration in the city and called for the support of the national government to cover the reduction of income among bus drivers. [size=no report]",0,1587491664,CHL
7818051,152,CHI3564,3564,"30 March 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile)",6,,,0,60,"South America",Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,"La Nacion (Chile)",National,"On 30 March 2020, in Santiago, Metropolitan region, a group of workers of the Metro system protested over the lack of security measures taken by the company to prevent the spread of coronavirus among the employees. The group protested inside a metro station in Santiago-La Moneda. [size=no report]",0,1618442048,CHL
8596310,152,CHI3566,3566,"30 March 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)","Prisoners (Chile)",6,,,0,60,"South America",Chile,"Los Rios",Valdivia,Valdivia,Valdivia,-39.8142,-73.2459,1,"El Austral Valdivia",Subnational,"On 30 March 2020, in Valdivia, Los Rios region, a group of 27 prisoners protested over the delays in their legal processes. The group demands expedited jury trials considering the high risk of coronavirus contagion in local jails. The group also announced the beginning of a hunger strike. [size=27]",0,1634574974,CHL
7030513,152,CHI3558,3558,"29 March 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,,,0,50,"South America",Chile,Metropolitana,Melipilla,Melipilla,Melipilla,-33.6891,-71.2153,1,"24 Horas (Chile)",National,"On 29 March 2020, in Melipilla, Metropolitan region, a group of citizens demonstrated against the government in the commemoration of the day of the young combatant. The group built and set on fire across the freeway. [size=no report]",0,1586210134,CHL
7030516,152,CHI3560,3560,"29 March 2020",2020,1,Riots,"Mob violence","Rioters (Chile)","Prisoners (Chile)",5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Cordillera,"Puente Alto","Puente Alto",-33.6183,-70.5899,1,"24 Horas (Chile)",National,"On 29 March 2020, in Puente Alto, Metropolitan region a group of prisoners started a riot inside the local jail. The inmates set on fire several objects. The group clashed with guards that used tear gas. The reason behind the riot was a suspected case of coronavirus in one of the prisoners. Meanwhile, outside the facilities some families of prisoners also clashed against security forces. 26 people were reported injured. [size=at least 26]",0,1586210134,CHL
7030571,152,CHI3561,3561,"29 March 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Maipo,"San Bernardo","San Bernardo",-33.5922,-70.6996,1,"El Mercurio (Chile)",National,"On 29 March 2020, in San Bernardo, Metropolitan region, a group of citizens demonstrated against the government in the commemoration of the day of the young combatant. The group set on fire barricades and attacked the police station, reportedly with weapons. [size=no report]",0,1586210134,CHL
7555014,152,CHI3557,3557,"29 March 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Santiago,Huechuraba,"Santiago - Huechuraba",-33.3742,-70.6361,1,"24 Horas (Chile)",National,"On 29 March 2020, in Huechuraba, Metropolitan region, a group of citizens demonstrated against the government in the commemoration of the day of the young combatant. The group clashed with police forces when some demonstrators vandalized the police stations. Barricades were built and set on fire across the streets. [size=no report]",0,1611096800,CHL
7555061,152,CHI3556,3556,"29 March 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)","Civilians (Chile); Labour Group (Chile); Government of Chile (2018-)",1,15,"South America",Chile,Metropolitana,Santiago,"Estacion Central","Santiago - Estacion Central",-33.4546,-70.6823,1,"24 Horas (Chile)",National,"On 29 March 2020, in Estacion Central, Metropolitan region, a group of citizens demonstrated against the government in the commemoration of the day of the young combatant. The group staged a march and cultural event. A group of demonstrators clashed with police forces and set on fire a bus of public transport. Two police officers were reported injured, one of them reportedly by a gunshot. [size=no report]",0,1611096800,CHL
7558915,152,CHI3559,3559,"29 March 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,,,0,50,"South America",Chile,Metropolitana,Santiago,Penalolen,"Santiago - Penalolen",-33.4684,-70.5341,1,"La Nacion (Chile)",National,"On 29 March 2020, in Penalolen, Metropolitan region, a group of citizens demonstrated against the government in the commemoration of the day of the young combatant. The were reports of violence by demonstrators, but not specific episode was mentioned [size=no report]",0,1611096808,CHL
7004699,152,CHI3554,3554,"27 March 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile)",6,,,0,60,"South America",Chile,Valparaiso,Valparaiso,Valparaiso,Valparaiso,-33.036,-71.6296,1,"Biobio Chile",National,"On 27 March 2020, in Valparaiso, Valparaiso region, more than 100 taxi drivers protested against the government. The group considers the economic measures taken by the government to mitigate the economic crisis caused by the coronavirus pandemic are insufficient and demanded for more protection for independent workers. [size=more than 100]",0,1585604313,CHL
