codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1000005,DGA,dga_web,Visviri,4080,-17.595,-69.4831,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,2014-01-01,2020-03-31,2270,2014-01-01
1201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12.0,Rio Lluta,120.0,Rio Lluta Alto,2013-08-01,2020-03-31,745,2016-09-01
1001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,1976-10-04,2013-01-19,9803,-
1202009,DGA,dga_web,Pacollo,4185,-18.1769,-69.5092,12.0,Rio Lluta,120.0,Rio Lluta Alto,1978-11-06,1999-05-31,7242,-
1202012,DGA,dga_web,Putre (Dcp),3560,-18.195,-69.5589,12.0,Rio Lluta,120.0,Rio Lluta Alto,2002-01-17,2020-03-31,2890,2016-09-01
1202010,DGA,dga_web,Putre,3545,-18.1992,-69.5603,12.0,Rio Lluta,120.0,Rio Lluta Alto,1976-01-19,2009-10-31,11692,-
1020017,DGA,dga_web,Parinacota Ex Endesa,4420,-18.2042,-69.2683,10.0,Altiplanicas,102.0,Rio Lauca,1986-01-01,2020-03-31,9448,2016-09-01
1020016,DGA,dga_web,Chucuyo Reten,4400,-18.2164,-69.2956,10.0,Altiplanicas,102.0,Rio Lauca,2019-02-01,2020-03-31,409,2019-02-01
1020018,DGA,dga_web,Chucuyo (Ex. Endesa),4400,-18.2181,-69.3214,10.0,Altiplanicas,102.0,Rio Lauca,1985-01-01,1989-06-03,1049,-
1010010,DGA,dga_web,Chungara Ajata,4585,-18.2353,-69.1833,10.0,Altiplanicas,101.0,Lago Chungara,1986-01-01,2020-03-31,11596,2014-04-01
1300004,DGA,dga_web,Murmuntane,3550,-18.3519,-69.5519,13.0,Rio San Jose,130.0,Azapa Alto,1970-06-01,1987-12-31,3533,-
1211006,DGA,dga_web,Lluta,290,-18.4103,-70.1692,12.0,Rio Lluta,121.0,Rio Lluta Bajo,1968-12-17,1993-12-31,5215,-
1310018,DGA,dga_web,Arica Oficina,20,-18.4775,-70.3208,13.0,Rio San Jose,131.0,Rio San Jose,1974-09-21,2020-03-31,2357,2019-02-01
1310021,DGA,dga_web,U. Del Norte,55,-18.4833,-70.2936,13.0,Rio San Jose,131.0,Rio San Jose,1975-05-01,1985-06-29,3197,-
1021002,DGA,dga_web,Rio Guallatire En Guallatire,4280,-18.4931,-69.1494,10.0,Altiplanicas,102.0,Rio Lauca,2016-09-01,2020-03-31,1307,2016-09-01
